id	event	title	url	begin	end	duration	day	location	track	format	level	lang	speakers	last_modified
rp14-session-1077	rp14	OER textbooks in Polish schools: a year later	https://14.re-publica.de/session/oer-textbooks-polish-schools-year-later	Wed May 07 2014 15:30:00 GMT+0200 (CEST)	Wed May 07 2014 16:00:00 GMT+0200 (CEST)	1800	2014-05-07	stage 3	research-education	talk	beginner	en	Michał Woźniak	1399769406.563
rp14-session-1171	rp14	Gamefication of protest in authoritarian context: looking for new identities and new forms of participation (Russian cases)	https://14.re-publica.de/session/gamefication-protest-authoritarian-context-looking-new-identities-and-new-forms	Wed May 07 2014 13:45:00 GMT+0200 (CEST)	Wed May 07 2014 14:15:00 GMT+0200 (CEST)	1800	2014-05-07	stage C	politics-society	discussion	beginner	en	Ksenia Ermoshina	1399769406.563
rp14-session-1290	rp14	Future scenarios of culture's circuits	https://14.re-publica.de/session/future-scenarios-cultures-circuits	Wed May 07 2014 11:15:00 GMT+0200 (CEST)	Wed May 07 2014 11:45:00 GMT+0200 (CEST)	1800	2014-05-07	stage C	politics-society	talk	intermediate	en	Marcin Koziej, Maria Świetlik	1399769406.563
rp14-session-1337	rp14	Fablabs in Egypt, bam booming!	https://14.re-publica.de/session/fablabs-egypt-bam-booming	Wed May 07 2014 17:30:00 GMT+0200 (CEST)	Wed May 07 2014 17:45:00 GMT+0200 (CEST)	900	2014-05-07	GIG lounge	science-technology	talk	intermediate	en	Muhammad  Radwan	1399769406.563
rp14-session-1555	rp14	Visualizing the Future of African Start-ups (Global Innovation Gathering)	https://14.re-publica.de/session/visualizing-future-african-start-ups-global-innovation-gathering	Tue May 06 2014 16:15:00 GMT+0200 (CEST)	Tue May 06 2014 16:45:00 GMT+0200 (CEST)	1800	2014-05-06	GIG lounge	science-technology	talk	beginner	en	Tayo Akinyemi	1399769406.563
rp14-session-1561	rp14	Breaking down the African startup funding ecosystem	https://14.re-publica.de/session/breaking-down-african-startup-funding-ecosystem	Tue May 06 2014 13:00:00 GMT+0200 (CEST)	Tue May 06 2014 13:30:00 GMT+0200 (CEST)	1800	2014-05-06	GIG lounge	business-innovation	talk	intermediate	en	Bill Zimmerman, Ben White	1399769406.563
rp14-session-1575	rp14	makeKGL: Making an innovative city	https://14.re-publica.de/session/makekgl-making-innovative-city	Wed May 07 2014 17:45:00 GMT+0200 (CEST)	Wed May 07 2014 18:00:00 GMT+0200 (CEST)	900	2014-05-07	GIG lounge	republica	talk	beginner	en	Jon Stever	1399769406.563
rp14-session-1687	rp14	African HubCity & WoeLab 	https://14.re-publica.de/session/african-hubcity-woelab	Wed May 07 2014 18:00:00 GMT+0200 (CEST)	Wed May 07 2014 18:15:00 GMT+0200 (CEST)	900	2014-05-07	GIG lounge	politics-society	talk	advanced	en	Sénamé Koffi Agbodjinou	1399769406.563
rp14-session-1719	rp14	eLearning in Lusaka	https://14.re-publica.de/session/elearning-lusaka	Wed May 07 2014 15:00:00 GMT+0200 (CEST)	Wed May 07 2014 15:30:00 GMT+0200 (CEST)	1800	2014-05-07	stage 3	research-education	talk	beginner	en	Silumesii Maboshe	1399769406.563
rp14-session-1720	rp14	Accelerating Innovation In Africa: 3 pertinent inputs	https://14.re-publica.de/session/accelerating-innovation-africa-3-pertinent-inputs	Tue May 06 2014 14:15:00 GMT+0200 (CEST)	Tue May 06 2014 14:45:00 GMT+0200 (CEST)	1800	2014-05-06	GIG lounge	business-innovation	talk	beginner	en	Oluwole Odetayo	1399769406.563
